id,age,job,visLiteracy,education,colorblind,measure,value,questionId,task
5fbbde667818f3dc301f6647,27,Programming,Beginner,High school graduate - High school diploma or equivalent (for example: GED),I am not colorblind,time,12.569,PCQ2,Find Extremum
5fbbde667818f3dc301f6647,27,Programming,Beginner,High school graduate - High school diploma or equivalent (for example: GED),I am not colorblind,time,12.569,PCQ2,Find Extremum
5fbbde667818f3dc301f6647,27,Programming,Beginner,High school graduate - High school diploma or equivalent (for example: GED),I am not colorblind,time,12.569,PCQ2,Find Extremum
5fbbde667818f3dc301f6647,27,Programming,Beginner,High school graduate - High school diploma or equivalent (for example: GED),I am not colorblind,time,12.569,PCQ2,Find Extremum
5fbbde667818f3dc301f6647,27,Programming,Beginner,High school graduate - High school diploma or equivalent (for example: GED),I am not colorblind,time,12.569,PCQ2,Find Extremum
5fbbde667818f3dc301f6647,27,Programming,Beginner,High school graduate - High school diploma or equivalent (for example: GED),I am not colorblind,time,12.569,PCQ2,Find Extremum
5fbbde667818f3dc301f6647,27,Programming,Beginner,High school graduate - High school diploma or equivalent (for example: GED),I am not colorblind,time,12.569,PCQ2,Find Extremum
5fbbde667818f3dc301f6647,27,Programming,Beginner,High school graduate - High school diploma or equivalent (for example: GED),I am not colorblind,time,12.569,PCQ2,Find Extremum
5fbbde667818f3dc301f6647,27,Programming,Beginner,High school graduate - High school diploma or equivalent (for example: GED),I am not colorblind,time,12.569,PCQ2,Find Extremum
5fbbde667818f3dc301f6647,27,Programming,Beginner,High school graduate - High school diploma or equivalent (for example: GED),I am not colorblind,time,12.569,PCQ2,Find Extremum
5fbbde667818f3dc301f6647,27,Programming,Beginner,High school graduate - High school diploma or equivalent (for example: GED),I am not colorblind,time,12.569,PCQ2,Find Extremum
5fbbde667818f3dc301f6647,27,Programming,Beginner,High school graduate - High school diploma or equivalent (for example: GED),I am not colorblind,time,12.569,PCQ2,Find Extremum
5fbbde667818f3dc301f6647,27,Programming,Beginner,High school graduate - High school diploma or equivalent (for example: GED),I am not colorblind,time,12.569,PCQ2,Find Extremum
5fbbde667818f3dc301f6647,27,Programming,Beginner,High school graduate - High school diploma or equivalent (for example: GED),I am not colorblind,time,12.569,PCQ2,Find Extremum
5fbbde667818f3dc301f6647,27,Programming,Beginner,High school graduate - High school diploma or equivalent (for example: GED),I am not colorblind,time,12.569,PCQ2,Find Extremum
5fbbde667818f3dc301f6647,27,Programming,Beginner,High school graduate - High school diploma or equivalent (for example: GED),I am not colorblind,time,12.569,PCQ2,Find Extremum
5fbbde667818f3dc301f6647,27,Programming,Beginner,High school graduate - High school diploma or equivalent (for example: GED),I am not colorblind,time,12.569,PCQ2,Find Extremum
5fbbde667818f3dc301f6647,27,Programming,Beginner,High school graduate - High school diploma or equivalent (for example: GED),I am not colorblind,time,12.569,PCQ2,Find Extremum
5fbbde667818f3dc301f6647,27,Programming,Beginner,High school graduate - High school diploma or equivalent (for example: GED),I am not colorblind,time,12.569,PCQ2,Find Extremum
5fbbde667818f3dc301f6647,27,Programming,Beginner,High school graduate - High school diploma or equivalent (for example: GED),I am not colorblind,time,12.569,PCQ2,Find Extremum
5fbbde667818f3dc301f6647,27,Programming,Beginner,High school graduate - High school diploma or equivalent (for example: GED),I am not colorblind,time,12.569,PCQ2,Find Extremum
5fbbde667818f3dc301f6647,27,Programming,Beginner,High school graduate - High school diploma or equivalent (for example: GED),I am not colorblind,time,12.569,PCQ2,Find Extremum
5fbbde667818f3dc301f6647,27,Programming,Beginner,High school graduate - High school diploma or equivalent (for example: GED),I am not colorblind,time,12.569,PCQ2,Find Extremum
5fbbde667818f3dc301f6647,27,Programming,Beginner,High school graduate - High school diploma or equivalent (for example: GED),I am not colorblind,time,12.569,PCQ2,Find Extremum
5fbbde667818f3dc301f6647,27,Programming,Beginner,High school graduate - High school diploma or equivalent (for example: GED),I am not colorblind,time,12.569,PCQ2,Find Extremum
5fbbde667818f3dc301f6647,27,Programming,Beginner,High school graduate - High school diploma or equivalent (for example: GED),I am not colorblind,time,12.569,PCQ2,Find Extremum
5fbbde667818f3dc301f6647,27,Programming,Beginner,High school graduate - High school diploma or equivalent (for example: GED),I am not colorblind,time,12.569,PCQ2,Find Extremum
5fbbde667818f3dc301f6647,27,Programming,Beginner,High school graduate - High school diploma or equivalent (for example: GED),I am not colorblind,time,12.569,PCQ2,Find Extremum
5fbbde667818f3dc301f6647,27,Programming,Beginner,High school graduate - High school diploma or equivalent (for example: GED),I am not colorblind,time,12.569,PCQ2,Find Extremum
5fbbde667818f3dc301f6647,27,Programming,Beginner,High school graduate - High school diploma or equivalent (for example: GED),I am not colorblind,time,12.569,PCQ2,Find Extremum
60c03680dc5dfe4723659602,20,Data Science,Relatively Skilled,High school graduate - High school diploma or equivalent (for example: GED),I do not know what type,time,9.174,PCQ2,Find Extremum
60c03680dc5dfe4723659602,20,Data Science,Relatively Skilled,High school graduate - High school diploma or equivalent (for example: GED),I do not know what type,time,9.174,PCQ2,Find Extremum
60c03680dc5dfe4723659602,20,Data Science,Relatively Skilled,High school graduate - High school diploma or equivalent (for example: GED),I do not know what type,time,9.174,PCQ2,Find Extremum
60c03680dc5dfe4723659602,20,Data Science,Relatively Skilled,High school graduate - High school diploma or equivalent (for example: GED),I do not know what type,time,9.174,PCQ2,Find Extremum
60c03680dc5dfe4723659602,20,Data Science,Relatively Skilled,High school graduate - High school diploma or equivalent (for example: GED),I do not know what type,time,9.174,PCQ2,Find Extremum
60c03680dc5dfe4723659602,20,Data Science,Relatively Skilled,High school graduate - High school diploma or equivalent (for example: GED),I do not know what type,time,9.174,PCQ2,Find Extremum
60c03680dc5dfe4723659602,20,Data Science,Relatively Skilled,High school graduate - High school diploma or equivalent (for example: GED),I do not know what type,time,9.174,PCQ2,Find Extremum
60c03680dc5dfe4723659602,20,Data Science,Relatively Skilled,High school graduate - High school diploma or equivalent (for example: GED),I do not know what type,time,9.174,PCQ2,Find Extremum
